Time,RMSError,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
90,2.1573884531680956,1526.6185796190734,4.654324937863029,328,1912
91,2.1717934204042995,1580.090031405321,4.716686660911406,335,1917
92,2.2072754674670025,1632.141771409361,4.872064989281674,335,1905
93,2.168239550074345,1589.0268083192304,4.701262746506599,338,1906
94,2.2019912018326067,1643.7314207494426,4.848765252948208,339,1908
95,2.233074579960158,1700.4381291655045,4.986622079664236,341,1914
96,2.169901945562045,1600.8813141403423,4.708474453353948,340,1929
97,2.2172023122233484,1666.5192856383824,4.915986093328562,339,1954
98,2.258764336578383,1739.7875679156487,5.102016328198383,341,1965
99,2.27407040015722,1763.4460990410855,5.171396184871218,341,1971
100,2.2457967085469943,1704.7377653687333,5.043602856120513,338,1959
101,2.2591045770525593,1750.518847090519,5.103553490059823,343,1956
102,2.2697940937442365,1751.6681775187146,5.15196522799622,340,1976
103,2.2474742286590317,1762.8480025617919,5.05114040848651,349,1978
104,2.226524893438678,1740.0519984868433,4.957413101102118,351,1987
105,2.2206387421853213,1730.8639845763364,4.931236423294406,351,1989
106,2.2352374749586903,1753.696585880355,4.996286569459701,351,1990
107,2.2422628064783146,1764.737615153919,5.027742493316008,351,1993
108,2.264827510263495,1800.4347215874654,5.129443651246341,351,1996
109,2.302354293173691,1860.5931872446597,5.300835291295327,351,1972
110,2.271087669569977,1805.243721005476,5.157839202872788,350,1957
111,2.262562311246826,1801.954250720652,5.1191882122745795,352,1957
112,2.278617580330886,1822.4264251649372,5.192098077392983,351,1954
113,2.3241425020620428,1895.9750678318155,5.401638369891212,351,1945
114,2.3254425114923705,1919.7274203608602,5.407682874255944,355,1939
115,2.3493702871940907,1948.397883461707,5.519540746350445,353,1944
116,2.341537878955709,1951.8766713360465,5.4827996385844004,356,1941
117,2.3543054105638226,1967.677658004582,5.54275396621009,355,1949
118,2.3298898497207547,1932.505669412121,5.4283867118318,356,1943
119,2.3615765245470732,1991.0045942211843,5.5770436812918325,357,1940
120,2.374746815859094,2013.2738108775475,5.639422439432906,357,1936
121,2.4067743710635656,2091.1151972282405,5.792562873208422,361,1923
122,2.3756322813118858,2037.3499737000125,5.643628736011115,361,1919
123,2.388278653239598,2059.098848112701,5.703874925519948,361,1882
124,2.425870206396625,2112.6598067235263,5.884846258282804,359,1870
125,2.41697100464033,2108.8713302552233,5.841748837272086,361,1871
126,2.411222795811294,2122.1083104296126,5.8139953710400345,365,1856
127,2.4306845828591217,2144.686597509695,5.908227541349022,363,1863
128,2.3953493170934532,2099.9975964294267,5.737698350900073,366,1868
129,2.385675747640078,2094.45314841912,5.6914487728780445,368,1877
130,2.413399013036844,2131.76509538256,5.8244947961272135,366,1880
131,2.3928863416544974,2118.5848663083584,5.725905044076645,370,1887
132,2.414481273960512,2145.3368946085993,5.829719822305976,368,1891
133,2.4189477239771984,2153.2813776110847,5.851308091334469,368,1908
134,2.3903316806637274,2125.491022213501,5.713685543584679,372,1922
135,2.408430800491782,2151.999939601027,5.800538920757486,371,1940
136,2.409842052951751,2148.7153264646427,5.80733872017471,370,1949
137,2.3634980170464712,2083.6238329653106,5.5861228765826025,373,1959
138,2.421444473176078,2198.772501253115,5.8633933366749735,375,1967
139,2.4012248132915226,2162.2052264875906,5.765880603966909,375,1981
